Species,Longitude,Latitude
Alternanthera philoxeroides,107.361545,-7.164845
Alternanthera philoxeroides,-49.998539,-25.416691
Alternanthera philoxeroides,-46.867417,-23.16889
Alternanthera philoxeroides,85.078323,26.723658
Alternanthera philoxeroides,-48.734699,-27.511957
Alternanthera philoxeroides,113.493914,-7.959459
Alternanthera philoxeroides,107.537483,-7.051478
Alternanthera philoxeroides,-50.990698,-29.930962
Alternanthera philoxeroides,107.668816,-7.207012
Alternanthera philoxeroides,75.52165,13.927069
Alternanthera philoxeroides,-90.076368,30.495258
Alternanthera philoxeroides,-57.110443,-29.641543
Alternanthera philoxeroides,87.751731,22.620208
Alternanthera philoxeroides,78.369592,27.114632
Alternanthera philoxeroides,-55.734397,-34.76822
Alternanthera philoxeroides,-48.540939,-25.522187
Alternanthera philoxeroides,78.328111,13.006753
Alternanthera philoxeroides,-35.052792,-8.087913
Alternanthera philoxeroides,109.443002,-7.46456
Alternanthera philoxeroides,-77.951656,34.557296
Alternanthera philoxeroides,-91.998224,29.949147
Alternanthera philoxeroides,-48.631482,-26.45166
Alternanthera philoxeroides,107.778117,-6.926923
Alternanthera philoxeroides,88.16971,23.596401
Alternanthera philoxeroides,-56.200224,-34.481091
Alternanthera philoxeroides,110.613678,-7.676458
Alternanthera philoxeroides,91.668889,26.156111
Alternanthera philoxeroides,151.558697,-33.237935
Alternanthera philoxeroides,-81.949259,28.942404
Alternanthera philoxeroides,174.782612,-36.825323
Alternanthera philoxeroides,-87.174059,33.561629
Alternanthera philoxeroides,-40.718179,-20.83485
Alternanthera philoxeroides,-57.999001,-34.920761
Alternanthera philoxeroides,120.685197,24.132975
Alternanthera philoxeroides,-49.087509,-26.986968
Alternanthera philoxeroides,-96.900045,33.203816
Alternanthera philoxeroides,140.204355,35.74337
Alternanthera philoxeroides,-77.464981,37.553892
Alternanthera philoxeroides,-92.254284,30.066553
Alternanthera philoxeroides,93.929913,24.747577
Alternanthera philoxeroides,-81.569801,30.287725
Alternanthera philoxeroides,110.129429,-7.463669
Alternanthera philoxeroides,109.150382,-7.0152
Alternanthera philoxeroides,-92.060839,32.585346
Alternanthera philoxeroides,-58.917603,-35.116028
Alternanthera philoxeroides,109.204925,-6.891407
Alternanthera philoxeroides,109.511653,-7.436333
Alternanthera philoxeroides,72.897047,19.125331
Alternanthera philoxeroides,87.049269,25.239628
Alternanthera philoxeroides,-76.913816,35.131932
Alternanthera philoxeroides,77.01028,31.559305
Alternanthera philoxeroides,-86.802703,33.367753
Alternanthera philoxeroides,-91.2651,34.0333
Alternanthera philoxeroides,-91.998852,30.213823
Alternanthera philoxeroides,74.439464,16.700318
Alternanthera philoxeroides,-95.645149,30.113503
Alternanthera philoxeroides,106.175742,-6.089822
Alternanthera philoxeroides,85.302489,23.352153
Alternanthera philoxeroides,91.895265,25.601588
Alternanthera philoxeroides,-95.513613,30.005625
Alternanthera philoxeroides,-94.852678,29.868171
Alternanthera philoxeroides,107.849274,-6.998091
Alternanthera philoxeroides,85.337895,27.687212
Alternanthera philoxeroides,76.292625,31.400034
Alternanthera philoxeroides,77.944848,12.659508
Alternanthera philoxeroides,-119.45639,36.55389
Alternanthera philoxeroides,-91.320963,29.73967
Alternanthera philoxeroides,-80.945748,34.965164
Alternanthera philoxeroides,-60.881599,-32.944343
Alternanthera philoxeroides,-95.636947,29.558761
Alternanthera philoxeroides,88.191583,22.198385
Alternanthera philoxeroides,-60.7925,-32.848611
Alternanthera philoxeroides,76.893675,28.464196
Alternanthera philoxeroides,76.631228,12.314138
Alternanthera philoxeroides,-96.65398,32.33039
Alternanthera philoxeroides,-96.768929,30.647153
Alternanthera philoxeroides,86.35811,23.294298
Alternanthera philoxeroides,85.326385,27.680569
Alternanthera philoxeroides,93.710502,26.631589
Alternanthera philoxeroides,-98.718115,29.497403
Alternanthera philoxeroides,-82.373249,34.847187
Alternanthera philoxeroides,91.897486,25.58112
Alternanthera philoxeroides,-78.976714,35.573127
Alternanthera philoxeroides,85.385581,27.651881
Alternanthera philoxeroides,-55.138889,-34.875833
Alternanthera philoxeroides,-51.450633,-25.372258
Alternanthera philoxeroides,-62.674785,-32.63472
Alternanthera philoxeroides,-80.250635,33.029319
Alternanthera philoxeroides,76.937654,31.639522
Alternanthera philoxeroides,77.646792,12.923108
Alternanthera philoxeroides,-96.979336,32.785656
Alternanthera philoxeroides,107.673333,-6.931667
Alternanthera philoxeroides,77.636469,12.772901
Alternanthera philoxeroides,-78.283241,35.240548
Alternanthera philoxeroides,88.637129,24.372961
Alternanthera philoxeroides,78.242805,30.065138
Alternanthera philoxeroides,-77.68323,35.309731
Alternanthera philoxeroides,89.74401,25.329651
Alternanthera philoxeroides,76.546826,32.098381
Alternanthera philoxeroides,-81.606677,30.163135
Alternanthera philoxeroides,78.424693,17.321668
Alternanthera philoxeroides,-86.724951,36.11846
Alternanthera philoxeroides,90.440881,23.774385
Alternanthera philoxeroides,-58.132778,-35.077222
Alternanthera philoxeroides,-77.455865,35.681568
Alternanthera philoxeroides,94.911674,27.187115
Alternanthera philoxeroides,-78.793737,36.084062
Alternanthera philoxeroides,93.892426,24.811031
Alternanthera philoxeroides,83.319889,26.083996
Alternanthera philoxeroides,-58.333725,-34.705814
Alternanthera philoxeroides,-92.263335,30.513384
Alternanthera philoxeroides,106.931522,-6.239734
Alternanthera philoxeroides,-94.24025,34.585914
Alternanthera philoxeroides,-86.46931,33.198896
Alternanthera philoxeroides,174.684065,-36.589804
Alternanthera philoxeroides,108.676542,-7.403847
Alternanthera philoxeroides,-51.160556,-30.001667
Alternanthera philoxeroides,-92.165136,30.118501
Alternanthera philoxeroides,106.994538,-6.158286
Alternanthera philoxeroides,86.676369,24.476955
Alternanthera philoxeroides,-56.393036,-34.687798
Alternanthera philoxeroides,-51.053877,-29.67193
Alternanthera philoxeroides,-57.872147,-34.99099
Alternanthera philoxeroides,77.058312,28.593593
Alternanthera philoxeroides,-52.683468,-29.610185
Alternanthera philoxeroides,112.106323,-7.03273
Alternanthera philoxeroides,87.760258,24.845535
Alternanthera philoxeroides,-76.69913,34.844119
Alternanthera philoxeroides,-79.018848,33.592375
Alternanthera philoxeroides,-48.798992,-26.240267
Alternanthera philoxeroides,93.942955,24.820032
Alternanthera philoxeroides,-97.257209,32.491338
Alternanthera philoxeroides,-49.233142,-25.38573
Alternanthera philoxeroides,-49.529526,-25.447909
Alternanthera philoxeroides,107.122444,-6.905707
Alternanthera philoxeroides,88.325297,22.41288
Alternanthera philoxeroides,135.533763,34.731734
Alternanthera philoxeroides,76.148768,28.80049
Alternanthera philoxeroides,-81.69365,29.665743
Alternanthera philoxeroides,106.882538,-6.344218
Alternanthera philoxeroides,-59.801796,-32.384634
Alternanthera philoxeroides,-51.186895,-29.847447
Alternanthera philoxeroides,-48.602211,-27.584335
Alternanthera philoxeroides,-80.244456,25.739885
Alternanthera philoxeroides,88.093862,23.488233
Alternanthera philoxeroides,-81.138653,31.99398
Alternanthera philoxeroides,-51.179848,-29.8078
Alternanthera philoxeroides,-64.574766,-31.355517
Alternanthera philoxeroides,-79.064383,33.563789
Alternanthera philoxeroides,-46.637403,-22.87703
Alternanthera philoxeroides,-95.645833,32.088333
Alternanthera philoxeroides,106.897465,-6.878955
Alternanthera philoxeroides,107.562165,-7.180814
Alternanthera philoxeroides,82.603453,25.42685
Alternanthera philoxeroides,110.718265,-7.691837
Alternanthera philoxeroides,113.844318,-8.150041
Alternanthera philoxeroides,-55.61294,-34.662003
Alternanthera philoxeroides,-46.490777,-23.647731
Alternanthera philoxeroides,-58.17286,-34.953062
Alternanthera philoxeroides,-90.379737,30.494823
Alternanthera philoxeroides,-58.082412,-35.12806
Alternanthera philoxeroides,-46.644044,-23.663327
Alternanthera philoxeroides,100.629085,13.697989
Alternanthera philoxeroides,86.022839,20.280897
Alternanthera philoxeroides,-49.717222,-25.757427
Alternanthera philoxeroides,-95.115806,29.441269
Alternanthera philoxeroides,151.667031,-32.892396
Alternanthera philoxeroides,-49.228982,-25.477099
Alternanthera philoxeroides,-90.280702,29.421279
Alternanthera philoxeroides,93.858372,24.69107
Alternanthera philoxeroides,81.673431,20.906183
Alternanthera philoxeroides,-58.770222,-34.58481
Alternanthera philoxeroides,-49.350381,-25.400273
Alternanthera philoxeroides,173.850112,-35.887879
Alternanthera philoxeroides,112.606323,-7.933154
Alternanthera philoxeroides,-61.888434,-34.78058
Alternanthera philoxeroides,-93.170607,30.325459
Alternanthera philoxeroides,114.406425,24.691275
Alternanthera philoxeroides,74.756191,32.755865
Alternanthera philoxeroides,-92.242867,30.113959
Alternanthera philoxeroides,109.532172,-6.879701
Alternanthera philoxeroides,-88.540139,30.463266
Alternanthera philoxeroides,-52.82621,-31.867714
Alternanthera philoxeroides,-76.500667,36.330705
Alternanthera philoxeroides,-78.696849,35.695715
Alternanthera philoxeroides,-89.813867,35.116667
Alternanthera philoxeroides,-81.37667,34.134526
Alternanthera philoxeroides,85.316325,27.655835
Alternanthera philoxeroides,75.403333,14.454413
Alternanthera philoxeroides,-51.126098,-29.107893
Alternanthera philoxeroides,77.727371,12.995135
Alternanthera philoxeroides,-60.498552,-31.76361
Alternanthera philoxeroides,-95.852185,29.732669
Alternanthera philoxeroides,113.143327,-7.751606
Alternanthera philoxeroides,-56.154158,-34.839396
Alternanthera philoxeroides,-95.25853,29.745779
Alternanthera philoxeroides,-80.827833,35.074136
Alternanthera philoxeroides,150.671736,-33.725065
Alternanthera philoxeroides,-60.513483,-31.771568
Alternanthera philoxeroides,-49.318123,-25.479272
Alternanthera philoxeroides,121.755144,25.128022
Alternanthera philoxeroides,-96.93432,32.9247
Alternanthera philoxeroides,108.483461,-6.764272
Alternanthera philoxeroides,83.569133,27.836982
Alternanthera philoxeroides,77.955193,30.318153
Alternanthera philoxeroides,93.740366,24.453981
Alternanthera philoxeroides,-80.082764,32.813694
Alternanthera philoxeroides,-43.025828,-22.941255
